year,timhour,timperiod,day,month,acctyp,roadtyp,location,climate,cause,gender,national,age,licns,injLvl,vhcltyp,heavyVcl,insurtyp,harmlvl,vhcls,singlmltipl,prsns,death_wound,wounds,deaths
2011,1800,4,4,8,1,1,1,1,1,1,1,26,1,5,6,2,2,2,1,1,2,2,2,0
2009,1300,3,3,12,1,2,1,1,1,2,1,23,1,5,6,2,2,3,1,1,3,2,2,0
2011,100,1,1,2,3,1,6,1,1,1,1,30,1,5,6,2,2,1,1,1,2,2,2,0
2009,1000,2,3,2,1,1,6,1,1,1,2,37,1,3,6,2,2,1,1,1,2,2,2,0
2011,2300,4,7,5,1,2,4,1,1,1,1,20,1,2,6,2,2,2,1,1,1,2,1,0
2011,1800,4,4,8,3,1,2,1,1,1,1,24,1,4,6,2,2,1,1,1,1,2,1,0
2009,1100,2,1,11,4,1,2,1,1,1,1,20,2,4,6,2,2,2,1,1,1,2,1,0
2011,700,2,1,6,1,1,1,1,1,1,1,39,1,4,6,2,2,2,1,1,3,1,2,1
2009,1400,3,7,7,1,2,1,1,1,1,1,37,1,3,6,2,2,1,1,1,1,2,1,0
2009,900,2,6,6,5,2,1,1,1,1,1,23,1,3,6,2,2,1,1,1,1,3,0,0
2009,1400,3,4,2,5,2,1,1,1,1,1,18,1,3,6,2,2,2,1,1,1,2,1,0
2011,2400,4,6,8,1,1,4,1,9,1,2,30,1,4,6,2,1,2,1,1,1,2,1,0
2011,2200,4,3,3,3,1,4,1,8,1,1,35,1,5,6,2,2,2,1,1,1,3,0,0
2010,2200,4,3,8,4,1,1,1,8,1,1,20,1,3,6,2,1,2,1,1,1,3,0,0
2009,1500,3,1,11,1,1,6,1,1,1,1,17,2,4,6,2,2,1,1,1,1,2,1,0
2011,1300,3,1,8,1,1,6,1,1,1,1,23,1,5,6,2,1,2,1,1,1,3,0,0
2009,1100,2,2,5,1,1,6,1,1,1,1,28,1,3,6,2,1,2,1,1,1,2,1,0
2012,1400,3,1,1,1,2,6,1,1,1,1,21,1,2,6,2,2,1,1,1,1,2,1,0
2010,200,1,5,5,1,1,4,1,1,1,2,22,1,2,6,2,2,2,1,1,1,3,0,0
2012,1600,3,3,3,1,1,4,1,1,1,1,20,1,5,6,2,1,2,1,1,1,3,0,0
2012,700,2,5,1,1,1,4,1,1,1,1,30,1,1,6,2,1,2,1,1,1,2,1,0
2010,1200,2,6,2,1,1,4,1,1,1,1,26,1,2,6,2,2,2,1,1,1,3,0,0
2010,1400,3,7,2,1,1,2,1,1,1,1,22,1,4,6,2,2,2,1,1,1,3,0,0
2012,1000,2,2,1,1,1,1,1,1,2,1,45,1,5,6,2,2,1,1,1,5,2,5,0
2012,2300,4,3,3,1,1,1,1,1,1,1,26,2,3,6,2,2,1,1,1,3,1,2,1
2011,400,1,4,12,1,1,1,1,1,1,1,26,1,4,6,2,2,1,1,1,3,1,2,1
2011,2000,4,5,6,1,1,1,1,1,1,1,32,1,3,6,2,2,1,1,1,2,1,1,1
2010,2300,4,2,9,5,1,1,1,1,1,1,26,1,4,6,2,2,1,1,1,2,2,2,0
2009,1700,3,1,5,5,2,1,1,1,1,1,26,1,4,6,2,1,1,1,1,1,3,0,0
2009,300,1,4,5,1,1,1,1,1,1,1,29,1,3,6,2,2,3,1,1,1,3,0,0
2009,2300,4,2,5,3,1,1,1,1,1,1,27,1,4,6,2,2,1,1,1,1,2,1,0
2011,200,1,2, ,2,2,6,1,1,1,1,11,2,1,6,2,3,1,2,2,2,2,1,0
2012,1900,4,3,1,3,2,1,1,1,1,1,14,2,5,6,2,3,3,2,2,2,2,1,0
2009,1200,2,5,7,2,2,1,1,1,1,1,21,2,4,6,2,3,2,1,1,2,2,2,0
2011,2400,4,6,3,1,2,1,1,1,1,1,33,1,4,6,2,2,3,2,2,3,2,1,0
2009,1300,3,1,3,3,1,1,1,7,1,1,39,1,3,6,2,3,5,2,2,1,3,0,0
2011,1600,3,5,8,4,2,1,1,2,1,1,31,1,1,6,2,1,1,2,2,3,2,2,0
2009,1700,3,5,10,1,1,1,1,2,1,1,68,1,5,6,2,2,1,2,2,2,2,1,0
2009,1100,2,1,6,1,1,1,1,2,1,1,19,1,1,6,2,4,5,2,2,1,3,0,0
2009,1300,3,6,7,1,1,1,1,1,1,1,23,1,1,6,2,1,2,2,2,6,2,6,0
2009,800,2,5,4,1,1,1,1,1,1,1,23,1,5,6,2,2,2,2,2,3,2,2,0
2011,900,2,6,4,1,1,1,1,1,1,1,58,1,4,6,2,2,2,2,2,2,2,1,0
2011,1400,3,5,2,1,1,2,1,7,2,1,27,1,4,6,2,2,2,2,2,2,2,1,0
2009,2200,4,7,11,1,1,1,1,7,1,1,23,1,5,6,2,2,1,2,2,6,1,4,1
2011,2400,4,7,6,1,1,1,1,7,2,1,39,1,4,6,2,1,2,2,2,6,2,6,0
2011,200,1,7,4,1,2,1,1,7,1,1,25,1,3,6,2,2,3,3,2,5,2,2,0
2011,200,1,5,10,1,1,5,1,2,1,1,26,1,5,6,2,2,1,2,2,5,2,4,0
2011,300,1,1,10,4,1,1,1,2,1,1,30,1,3,6,2,2,2,2,2,2,2,1,0
2011,1700,3,2,12,3,2,6,1,1,1,1,35,1,4,6,2,2,3,2,2,2,2,1,0
2009,1100,2,5,6,4,2,6,1,1,1,1,18,1,4,6,2,1,2,2,2,2,2,1,0
2012,1800,4,3,4,4,1,6,1,1,1,2,45,1,4,6,2,1,1,2,2,2,2,2,0
2010,2000,4,4,10,4,1,4,1,1,1,1,30,1,4,6,2,1,3,1,1,2,1,0,1
2011,100,1,1,6,4,1,5,1,1,2,1,22,1,4,6,2,2,2,3,2,3,2,1,0
